Name,Quantity,Price,Thumbnail_Image,Full_Product_Image,Detailed_Description,Image_File_Name
Lady Finger (Bhindi),250 g,₹14,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/1d455f4c-48df-4228-8fdb-51129f10491d.jpg?ts=1711016007","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/1d455f4c-48df-4228-8fdb-51129f10491d.jpg?ts=1711016007","A highly versatile vegetable in the Indian cuisine, Lady Finger can be sliced or chopped or can be paired with other vegetables for an exquisite taste. Toss in some green chillies or onions for a flavourful, wholesome main course dish.",Lady_Finger__Bhindi_.jpg
Potato (Aloo),(0.95-1.05) kg,₹33,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2d053159-1d80-479e-9d0a-8c76d37c9af4.jpg?ts=1744719578","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/da/cms-assets/cms/product/2d053159-1d80-479e-9d0a-8c76d37c9af4.jpg?ts=1744719578","Potato is a starchy vegetable that is widely used in many recipes. Due to its bland taste, peeled potatoes can be mixed with a number of vegetables. Potatoes are also used in making chips and snacks.",Potato__Aloo_.jpg
Whole Farm Premium Green Dried Peas,500 g,₹90,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/images/products/sliding_image/526247a.jpg","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/526247a.jpg",N/A,Whole_Farm_Premium_Green_Dried_Peas.jpg
Lettuce Mix,150 g,₹58,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/images/products/sliding_image/536549a.jpg","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/536549a.jpg",Protect Your Heart. Lettuce contains two key nutrients in significant levels that help to protect the heart muscle: folate and fiber. High levels of folate have been shown to assist in the prevention of stroke and cardiovascular disease.,Lettuce_Mix.jpg
Orange Carrot (Gajar),(200-250) g,₹16,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/0c1933a9-b8ba-411c-acef-5d32ec3c3860.jpg?ts=1713944180","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/0c1933a9-b8ba-411c-acef-5d32ec3c3860.jpg?ts=1713944180","Enjoy the sweet, crisp flavor of Orange Carrots. Packed with beta-carotene, vitamins, and antioxidants, they promote eye health and boost immunity. Perfect for snacking, salads, and cooking, these carrots add a nutritious touch to your meals.",Orange_Carrot__Gajar_.jpg
Fresh Rosemary,10 g,₹23,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6de43acf-adf3-4773-8421-f4e8c49eda5e.jpg?ts=1741865087","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/da/cms-assets/cms/product/6de43acf-adf3-4773-8421-f4e8c49eda5e.jpg?ts=1741865087",Rosemary is a fragrant herb used to flavor roasted meats and savory dishes like vegetables and potatoes. Enjoy its distinct pine-like aroma in a variety of recipes.,Fresh_Rosemary.jpg
English Cucumber (Kheera),(500-600) g,₹41,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/4a7cbdcc-d74d-403f-a0cb-b130572ad296.jpg?ts=1711022176","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/4a7cbdcc-d74d-403f-a0cb-b130572ad296.jpg?ts=1711022176","Long and narrow, English Cucumber has small seeds but is confused with being seedless. It helps soothe the tired eyes due to its cleansing and refreshing properties. Excellent for salad, cooking and other summer coolers, English Cucumber refreshes and hydrates your body.",English_Cucumber__Kheera_.jpg
Green Capsicum 500 g (Shimla Mirch),500 g,₹31,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/55a3d8d4-4234-4ff5-a7cd-25df6e2dccde.jpg?ts=1711024454","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/55a3d8d4-4234-4ff5-a7cd-25df6e2dccde.jpg?ts=1711024454","Capsicum has a wonderful bell shape, thick and brittle skin with glossy outer cover and a fleshy texture. Slightly less ripe, Capsicum has a vibrant colour and flavour. A staple in salads, it can be cooked or grilled -either ways it adds zing to any recipe.",Green_Capsicum_500_g__Shimla_Mirch_.jpg
French Beans - 250 g,250 g,₹23,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/8f6c6e3a-91de-4469-b685-eb25289650fc.jpg?ts=1711100796","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/8f6c6e3a-91de-4469-b685-eb25289650fc.jpg?ts=1711100796","French beans, also known as green beans or string beans, are slender, crisp, and vibrant green pods that are popular in culinary dishes around the world.",French_Beans_-_250_g.jpg
Arvi,(250-300) g,₹21,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/c399c46f-91e7-4ad0-8211-20e167fb1fb7.jpg?ts=1711472717","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/c399c46f-91e7-4ad0-8211-20e167fb1fb7.jpg?ts=1711472717","Arbi, also known as taro root or colocasia, is a starchy tuber used in many cuisines. It has a mild flavor and creamy texture when cooked, often used in curries, stir-fries, and snacks. Incorporate arbi into your cooking for its unique taste and versatility!",Arvi.jpg
